Mult = 25.8716535 	Temp = b'\n'
Mult = 25.7198473 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128605  \n'
Mult = 25.7074721 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128306  \n'
Mult = 25.6903623 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128446  \n'
Mult = 25.6771995 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128476  \n'
Mult = 25.6702888 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128493  \n'
Mult = 25.6628499 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128489  \n'
Mult = 25.6549312 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128639  \n'
Mult = 25.6465854 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128442  \n'
Mult = 25.6392385 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128424  \n'
Mult = 25.6309153 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128400  \n'
Mult = 25.619018 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128539  \n'
Mult = 25.6088868 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128545  \n'
Mult = 25.6014385 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128455  \n'
Mult = 25.595294 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128635  \n'
Mult = 25.5886563 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128532  \n'
Mult = 25.5839001 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128508  \n'
Mult = 25.5810034 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128488  \n'
Mult = 25.58025 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128584  \n'
Mult = 25.5790995 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128506  \n'
Mult = 25.5774111 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128345  \n'
Mult = 25.5750218 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128510  \n'
Mult = 25.57002 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128476  \n'
Mult = 25.5655867 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128549  \n'
Mult = 25.5622082 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128506  \n'
Mult = 25.5573094 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128492  \n'
Mult = 25.5548185 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128397  \n'
Mult = 25.5525054 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128551  \n'
Mult = 25.5505613 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128407  \n'
Mult = 25.5464864 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128492  \n'
Mult = 25.540331 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128445  \n'
Mult = 25.5369349 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128495  \n'
Mult = 25.5355008 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128514  \n'
Mult = 25.5342836 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128391  \n'
Mult = 25.5329496 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128250  \n'
Mult = 25.5314395 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128279  \n'
Mult = 25.5292225 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128489  \n'
Mult = 25.5276233 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128272  \n'
Mult = 25.5285622 	b'\r0x7fffff 8388607 2.048000  Temperature = 0.128521  \n'
